Date,High,Low
2022-02-18,4394.60009765625,4327.22021484375
2022-02-22,4362.1201171875,4267.10986328125
2022-02-23,4341.509765625,4221.509765625
2022-02-24,4294.72998046875,4114.64990234375
2022-02-25,4385.33984375,4286.830078125
2022-02-28,4388.83984375,4315.1201171875
2022-03-01,4378.4501953125,4279.5400390625
2022-03-02,4401.47998046875,4322.56005859375
2022-03-03,4416.77978515625,4345.56005859375
2022-03-04,4342.1201171875,4284.97998046875
2022-03-07,4327.009765625,4199.85009765625
2022-03-08,4276.93994140625,4157.8701171875
2022-03-09,4299.39990234375,4223.10009765625
2022-03-10,4268.27978515625,4209.7998046875
2022-03-11,4291.009765625,4200.490234375
2022-03-14,4247.56982421875,4161.72021484375
2022-03-15,4271.0498046875,4187.89990234375
2022-03-16,4358.89990234375,4251.990234375
2022-03-17,4412.669921875,4335.64990234375
2022-03-18,4465.39990234375,4390.56982421875
2022-03-21,4481.75,4424.2998046875
2022-03-22,4522.0,4469.10009765625
2022-03-23,4501.06982421875,4455.81005859375
2022-03-24,4520.580078125,4465.169921875
2022-03-25,4546.02978515625,4501.06982421875
2022-03-28,4575.64990234375,4517.68994140625
2022-03-29,4637.2998046875,4589.66015625
2022-03-30,4627.77001953125,4581.31982421875
2022-03-31,4603.06982421875,4530.41015625
2022-04-01,4548.7001953125,4507.56982421875
2022-04-04,4583.5,4539.2099609375
2022-04-05,4593.4501953125,4514.169921875
2022-04-06,4503.93994140625,4450.0400390625
2022-04-07,4521.16015625,4450.2998046875
2022-04-08,4520.41015625,4474.60009765625
2022-04-11,4464.35009765625,4408.3798828125
2022-04-12,4471.0,4381.33984375
2022-04-13,4453.919921875,4392.7001953125
2022-04-14,4460.4599609375,4390.77001953125
2022-04-18,4410.31005859375,4370.2998046875
2022-04-19,4471.02978515625,4390.6298828125
2022-04-20,4488.2900390625,4448.759765625
2022-04-21,4512.93994140625,4384.47021484375
2022-04-22,4385.830078125,4267.6201171875
2022-04-25,4299.02001953125,4200.81982421875
2022-04-26,4278.14013671875,4175.0400390625
2022-04-27,4240.7099609375,4162.89990234375
2022-04-28,4308.4501953125,4188.6298828125
2022-04-29,4269.68017578125,4124.27978515625
2022-05-02,4169.81005859375,4062.510009765625
2022-05-03,4200.10009765625,4147.080078125
2022-05-04,4307.66015625,4148.91015625
2022-05-05,4270.43017578125,4106.009765625
2022-05-06,4157.68994140625,4067.909912109375
2022-05-09,4081.27001953125,3975.47998046875
2022-05-10,4068.820068359375,3958.169921875
2022-05-11,4049.090087890625,3928.820068359375
2022-05-12,3964.800048828125,3858.8701171875
2022-05-13,4038.8798828125,3963.89990234375
2022-05-16,4046.4599609375,3983.989990234375
2022-05-17,4090.719970703125,4033.929931640625
2022-05-18,4051.97998046875,3911.909912109375
2022-05-19,3945.9599609375,3876.580078125
2022-05-20,3943.419921875,3810.320068359375
2022-05-23,3981.8798828125,3909.0400390625
2022-05-24,3955.679931640625,3875.1298828125
2022-05-25,3999.330078125,3925.030029296875
2022-05-26,4075.139892578125,3984.60009765625
2022-05-27,4158.490234375,4077.429931640625
2022-05-31,4168.33984375,4104.8798828125
2022-06-01,4166.5400390625,4073.85009765625
2022-06-02,4177.509765625,4074.3701171875
2022-06-03,4142.669921875,4098.669921875
2022-06-06,4168.77978515625,4109.18017578125
2022-06-07,4164.85986328125,4080.18994140625
2022-06-08,4160.14013671875,4107.2001953125
2022-06-09,4119.10009765625,4017.169921875
2022-06-10,3974.389892578125,3900.159912109375
2022-06-13,3838.14990234375,3734.300048828125
2022-06-14,3778.179931640625,3705.679931640625
2022-06-15,3837.56005859375,3722.300048828125
2022-06-16,3728.179931640625,3639.77001953125
2022-06-17,3707.7099609375,3636.8701171875
2022-06-21,3779.64990234375,3715.31005859375
2022-06-22,3801.7900390625,3717.68994140625
2022-06-23,3802.580078125,3743.52001953125
2022-06-24,3913.64990234375,3821.75
2022-06-27,3927.719970703125,3889.659912109375
2022-06-28,3945.860107421875,3820.139892578125
2022-06-29,3836.5,3799.02001953125
2022-06-30,3818.989990234375,3738.669921875
2022-07-01,3829.820068359375,3752.10009765625
2022-07-05,3832.18994140625,3742.06005859375
2022-07-06,3870.909912109375,3809.3701171875
